agestrat,GDS_teacher,n,perc,cum_per
24,408,1,2.9412,2.9412
24,428,1,2.9412,5.8824
24,450,1,2.9412,8.8235
24,469,1,2.9412,11.7647
24,471,1,2.9412,14.7059
24,474,1,2.9412,17.6471
24,475,1,2.9412,20.5882
24,477,1,2.9412,23.5294
24,480,1,2.9412,26.4706
24,482,1,2.9412,29.4118
24,490,1,2.9412,32.3529
24,493,1,2.9412,35.2941
24,499,1,2.9412,38.2353
24,504,1,2.9412,41.1765
24,507,1,2.9412,44.1176
24,510,1,2.9412,47.0588
24,513,1,2.9412,50
24,516,1,2.9412,52.9412
24,518,1,2.9412,55.8824
24,521,1,2.9412,58.8235
24,526,1,2.9412,61.7647
24,527,1,2.9412,64.7059
24,539,1,2.9412,67.6471
24,547,1,2.9412,70.5882
24,552,1,2.9412,73.5294
24,565,1,2.9412,76.4706
24,574,2,5.8824,82.3529
24,582,1,2.9412,85.2941
24,589,1,2.9412,88.2353
24,592,1,2.9412,91.1765
24,597,2,5.8824,97.0588
24,601,1,2.9412,100
28,407,1,2.8571,2.8571
28,431,2,5.7143,8.5714
28,445,1,2.8571,11.4286
28,448,1,2.8571,14.2857
28,453,1,2.8571,17.1429
28,464,1,2.8571,20
28,471,1,2.8571,22.8571
28,477,1,2.8571,25.7143
28,481,1,2.8571,28.5714
28,484,1,2.8571,31.4286
28,486,1,2.8571,34.2857
28,490,1,2.8571,37.1429
28,498,1,2.8571,40
28,502,1,2.8571,42.8571
28,512,1,2.8571,45.7143
28,519,1,2.8571,48.5714
28,520,2,5.7143,54.2857
28,521,2,5.7143,60
28,525,1,2.8571,62.8571
28,526,1,2.8571,65.7143
28,531,1,2.8571,68.5714
28,534,1,2.8571,71.4286
28,535,1,2.8571,74.2857
28,538,1,2.8571,77.1429
28,543,1,2.8571,80
28,547,1,2.8571,82.8571
28,548,2,5.7143,88.5714
28,584,1,2.8571,91.4286
28,599,1,2.8571,94.2857
28,612,1,2.8571,97.1429
28,615,1,2.8571,100
32,339,1,2.5,2.5
32,426,1,2.5,5
32,429,1,2.5,7.5
32,447,1,2.5,10
32,460,1,2.5,12.5
32,470,1,2.5,15
32,471,1,2.5,17.5
32,476,1,2.5,20
32,477,1,2.5,22.5
32,480,1,2.5,25
32,482,1,2.5,27.5
32,485,1,2.5,30
32,489,2,5,35
32,490,1,2.5,37.5
32,492,1,2.5,40
32,493,2,5,45
32,498,1,2.5,47.5
32,500,1,2.5,50
32,512,1,2.5,52.5
32,521,1,2.5,55
32,529,1,2.5,57.5
32,531,1,2.5,60
32,538,1,2.5,62.5
32,543,1,2.5,65
32,547,1,2.5,67.5
32,550,1,2.5,70
32,552,1,2.5,72.5
32,554,1,2.5,75
32,557,2,5,80
32,565,1,2.5,82.5
32,573,1,2.5,85
32,576,1,2.5,87.5
32,592,1,2.5,90
32,605,1,2.5,92.5
32,619,1,2.5,95
32,621,1,2.5,97.5
32,696,1,2.5,100
36,344,1,1.6667,1.6667
36,363,1,1.6667,3.3333
36,377,1,1.6667,5
36,396,1,1.6667,6.6667
36,420,1,1.6667,8.3333
36,432,1,1.6667,10
36,439,1,1.6667,11.6667
36,446,1,1.6667,13.3333
36,452,1,1.6667,15
36,457,1,1.6667,16.6667
36,460,2,3.3333,20
36,461,1,1.6667,21.6667
36,470,1,1.6667,23.3333
36,474,2,3.3333,26.6667
