SS,mo_0,mo_2,mo_4,mo_6,mo_8,mo_10,mo_12,mo_14,mo_16,mo_18,mo_20,mo_22,mo_24,mo_28,mo_32,mo_36,mo_42,mo_48,mo_54,mo_60,mo_66,mo_72,mo_78,mo_84,mo_96,mo_108,mo_120,mo_132,mo_156,mo_204
160,11--34,12--34,14--34,15--34,17--34,18--34,19--34,21--34,22--34,24--34,25--34,26--34,27--34,29--34,30--34,31--34,32--34,33--34,34,-,-,-,-,-,-,-,-,-,-,-
159,-,-,13,-,16,-,-,-,-,23,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,20,-,-,24,-,-,-,-,30,31,32,33,-,-,-,-,-,-,-,-,-,-,-
156,10,11,-,14,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-,-,21,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,-,12,-,15,-,18,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,-,-,-,-,22,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,10,-,-,-,-,-,19,-,-,-,-,-,-,28,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-
150,9,-,-,13,-,16,-,-,-,-,23,-,-,-,-,29,30,-,32,33,-,-,-,-,-,-,-,-,-,-
149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-,-,20,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,11,-,14,-,17,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,8,9,-,-,-,-,-,18,-,-,-,-,-,26,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-
144,-,-,-,12,-,15,-,-,-,-,22,-,-,-,27,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,32,-,-,-,-,-,-,-,-,-,-
142,-,-,10,-,-,-,-,-,19,-,-,23,-,-,-,-,29,30,31,-,-,-,-,-,-,-,-,-,-,-
141,-,-,-,-,13,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,-,-,-,-,-,20,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,7,8,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-
138,-,-,-,11,-,14,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,-,-,-,-,-,-,-,-,21,-,-,-,26,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-
136,-,-,9,-,-,-,-,-,18,-,-,-,-,-,-,27,-,-,-,-,32,-,-,-,-,-,-,-,-,-
135,-,-,-,-,12,-,15,-,-,-,-,22,-,-,-,-,28,29,30,31,-,-,-,-,-,-,-,-,-,-
